"","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan","6.4","10.6","2.1","6.6","10.9","2.1","7.4","12.5","2.1","8.1","14.3","1.7"
"Albania","5.6","7","4.3","5.3","6.7","4","7.7","9.5","6","5.8","8.2","3.6"
"Algeria","3.3","4.9","1.8","3.4","5","1.8","3.5","5.1","1.9","4.7","6.7","2.8"
"Angola","8.9","14","4.6","9.3","14.8","4.7","10.4","16.7","5.1","13.9","21.9","7.2"
"Antigua and Barbuda","0.5","0","0.9","0.8","0","1.6","0.2","0.5","0","2.1","4.3","0.1"
"Argentina","9.1","15","3.5","8.7","14.4","3.4","8.6","14.4","3.2","9.5","16.2","3.6"
"Armenia","5.7","10.1","2","6","10.7","2.2","5.4","9.7","1.9","3.2","5.7","1.2"
"Australia","11.7","17.4","6","12.2","18.3","6.2","11","16.8","5.3","12.2","19.2","5.4"
"Austria","11.4","17.5","5.7","11.5","18.2","5.3","12.2","19.5","5.4","16","25.2","7.9"
"Azerbaijan","2.6","4.3","1","2.7","4.4","1","3","5.1","1.2","2.4","4.1","1"
"Bahamas","1.6","2.8","0.5","1.6","2.9","0.5","1.9","3.3","0.6","2.2","3.7","0.7"
"Bahrain","5.7","7.9","2.1","5.7","7.9","2.2","5.3","7.1","2.6","7.3","10","3.5"
"Bangladesh","6.1","5.5","6.7","6.3","5.5","7.2","6.6","4.9","8.4","7","6.2","7.9"
"Barbados","0.4","0.8","0.3","0.4","0.7","0.3","1.6","2.6","0.6","2.1","3.7","0.5"
"Belarus","21.4","39.3","6.2","21.2","39.2","6.1","31.9","58.1","9.6","38.7","70.4","11"
"Belgium","15.7","22.2","9.4","15.2","21.6","8.9","16.8","24","9.8","18.8","27.3","10.6"
"Belize","5.9","9.9","2","6.1","10.1","2.1","6.5","10.6","2.3","7.4","12.5","2.4"
"Benin","15.7","22.6","9.6","15.7","22.5","9.6","15.5","22.1","9.8","15.6","22.2","9.9"
"Bhutan","11.6","13.8","8.9","11.9","14.1","9.2","12.2","14.4","9.5","16.3","19.8","12.6"
"Bolivia (Plurinational State of)","12.9","16.9","8.9","13.1","17.1","9.2","15.2","19.4","11","18.5","23.2","13.8"
"Bosnia and Herzegovina","6.4","10.6","2.5","6.6","11","2.6","6.3","10.5","2.4","9.7","16.2","3.8"
"Botswana","11.5","18.3","5.7","12","19","5.9","13.8","21.8","6.8","15.3","25.9","5.9"
"Brazil","6.1","9.7","2.8","6.2","9.7","2.9","5.7","9","2.8","5.3","8.9","2.2"
"Brunei Darussalam","4.5","6.2","2.8","4.5","6.1","2.8","4","5.6","2.3","3.7","5.1","2.2"
